time,data,I2_out,I3_out,I1_out,RE_out,DE_out,NP_out,totale_positivi,,,
11,2020-03-02,1,1,6,0,0,6,8,,,
12,2020-03-03,1,1,7,0,0,1,9,,,
13,2020-03-04,1,1,7,0,0,0,9,,,
14,2020-03-05,2,2,12,0,0,7,16,,,
15,2020-03-06,2,2,20,0,0,8,24,,,
16,2020-03-07,2,2,22,0,0,2,26,,,
17,2020-03-08,4,2,22,0,0,2,28,,,
18,2020-03-09,8,2,27,0,0,9,37,,,
19,2020-03-10,7,5,32,2,0,9,44,,,
20,2020-03-11,8,8,46,2,0,18,62,,,
21,2020-03-12,11,10,52,2,1,12,73,,,
22,2020-03-13,21,11,71,3,1,31,103,,,
23,2020-03-14,25,13,101,3,1,36,139,,,
24,2020-03-15,30,15,114,4,1,21,159,,,
25,2020-03-16,36,21,135,4,1,33,192,,,
26,2020-03-17,54,21,166,4,2,50,241,,,
27,2020-03-18,69,21,238,4,2,87,328,,,
28,2020-03-19,75,24,285,4,7,61,384,,,
29,2020-03-20,92,29,326,5,10,67,447,,,
30,2020-03-21,97,35,368,5,16,59,500,,,
31,2020-03-22,106,42,408,5,16,56,556,,,
32,2020-03-23,105,43,476,5,19,71,624,,,
33,2020-03-24,123,44,519,5,19,62,686,,,
34,2020-03-25,144,46,580,12,20,92,770,,,
35,2020-03-26,149,46,629,39,21,82,824,,,
36,2020-03-27,159,44,695,43,28,85,898,,,
37,2020-03-28,166,46,685,95,31,54,897,,,
38,2020-03-29,173,47,614,184,33,28,834,,,
39,2020-03-30,176,43,632,190,37,27,851,,,
40,2020-03-31,173,45,646,194,37,17,864,,,
41,2020-04-01,171,47,667,205,38,33,885,,,
42,2020-04-02,165,48,707,220,39,51,920,,,
43,2020-04-03,167,44,716,242,41,31,927,,,
44,2020-04-04,159,45,694,298,43,29,898,,,
45,2020-04-05,159,46,667,337,44,14,872,,,
46,2020-04-06,157,41,648,368,49,10,846,,,
47,2020-04-07,155,41,627,416,50,26,823,,,
48,2020-04-08,154,38,600,455,51,9,792,,,
49,2020-04-09,146,39,567,498,52,4,752,,,
50,2020-04-10,137,39,547,534,52,7,723,,,
51,2020-04-11,129,39,519,580,52,10,687,,,
52,2020-04-12,127,38,460,643,52,1,625,,,
53,2020-04-13,127,37,458,646,53,1,622,,,
54,2020-04-14,122,37,423,686,54,1,582,,,
55,2020-04-15,116,33,387,738,55,7,536,,,
56,2020-04-16,111,31,352,786,57,8,494,,,
57,2020-04-17,109,32,290,856,57,7,431,,,
58,2020-04-18,108,30,298,854,58,4,436,,,
59,2020-04-19,113,29,282,867,58,1,424,,,
60,2020-04-20,107,22,278,886,60,4,407,,,
61,2020-04-21,97,20,254,925,61,4,371,,,
62,2020-04-22,100,19,236,946,61,5,355,,,
63,2020-04-23,94,19,209,979,62,1,322,,,
64,2020-04-24,95,18,184,1006,63,3,297,,,
65,2020-04-25,91,17,188,1008,64,2,296,,,
66,2020-04-26,90,16,181,1018,65,2,287,,,
67,2020-04-27,80,17,178,1039,65,9,275,,,
68,2020-04-28,77,16,168,1064,66,12,261,,,
69,2020-04-29,68,16,149,1092,67,1,233,,,
70,2020-04-30,60,13,131,1121,68,1,204,,,
71,2020-05-01,60,13,123,1130,68,1,196,,,
72,2020-05-02,58,13,112,1143,68,0,183,,,
73,2020-05-03,56,13,112,1143,70,0,181,,,
74,2020-05-04,56,11,109,1154,70,6,176,,,
75,2020-05-05,55,9,107,1163,70,4,171,,,
76,2020-05-06,47,9,85,1194,70,1,141,,,
77,2020-05-07,47,6,66,1216,71,1,119,,,
