time	data	I2_out	I3_out	I1_out	RE_out	DE_out
1	2020-02-24	101	26	94	1	7
2	2020-02-25	114	35	162	1	10
3	2020-02-26	128	36	221	3	12
4	2020-02-27	248	56	284	45	17
5	2020-02-28	345	64	412	46	21
6	2020-02-29	401	105	543	50	29
7	2020-03-01	639	140	798	83	34
8	2020-03-02	742	166	927	149	52
9	2020-03-03	1034	229	1000	160	79
10	2020-03-04	1346	295	1065	276	107
11	2020-03-05	1790	351	1155	414	148
12	2020-03-06	2394	462	1060	523	197
13	2020-03-07	2651	567	1843	589	233
14	2020-03-08	3557	650	2180	622	366
15	2020-03-09	4316	733	2936	724	463
16	2020-03-10	5038	877	2599	1004	631
17	2020-03-11	5838	1028	3724	1045	827
18	2020-03-12	6650	1153	5036	1258	1016
19	2020-03-13	7426	1328	6201	1439	1266
20	2020-03-14	8372	1518	7860	1966	1441
21	2020-03-15	9663	1672	9268	2335	1809
22	2020-03-16	11025	1851	10197	2749	2158
23	2020-03-17	12894	2060	11108	2941	2503
24	2020-03-18	14363	2257	12090	4025	2978
25	2020-03-19	15757	2498	14935	4440	3405
26	2020-03-20	16020	2655	19185	5129	4032
27	2020-03-21	17708	2857	22116	6072	4825
28	2020-03-22	19846	3009	23783	7024	5476
29	2020-03-23	20692	3204	26522	7432	6077
30	2020-03-24	21937	3396	28697	8326	6820
31	2020-03-25	23112	3489	30920	9362	7503
32	2020-03-26	24753	3612	33648	10361	8165
33	2020-03-27	26029	3732	36653	10950	9134
34	2020-03-28	26676	3856	39533	12384	10023
35	2020-03-29	27386	3906	42588	13030	10779
36	2020-03-30	27795	3981	43752	14620	11591
37	2020-03-31	28192	4023	45420	15729	12428
38	2020-04-01	28403	4035	48134	16847	13155
39	2020-04-02	28540	4053	50456	18278	13915
40	2020-04-03	28741	4068	52579	19758	14681
41	2020-04-04	29010	3994	55270	20996	15362
42	2020-04-05	28949	3977	58320	21815	15887
43	2020-04-06	28976	3898	60313	22837	16523
44	2020-04-07	28718	3792	61557	24392	17127
45	2020-04-08	28485	3693	63084	26491	17669
46	2020-04-09	28399	3605	64873	28470	18279
47	2020-04-10	28242	3497	66534	30455	18849
48	2020-04-11	28144	3381	68744	32534	19468
49	2020-04-12	27847	3343	71063	34211	19899
50	2020-04-13	28023	3260	72333	35435	20465
51	2020-04-14	28011	3186	73094	37130	21067
52	2020-04-15	27643	3079	74696	38092	21645
53	2020-04-16	26893	2936	76778	40164	22170
54	2020-04-17	25786	2812	78364	42727	22745
55	2020-04-18	25007	2733	80031	44927	23227
56	2020-04-19	25033	2635	80589	47055	23660
57	2020-04-20	24906	2573	80758	48877	24114
58	2020-04-21	24134	2471	81104	51600	24648
59	2020-04-22	23805	2384	81510	54543	25085
60	2020-04-23	22871	2267	81710	57576	25549
61	2020-04-24	22068	2173	82286	60498	25969
62	2020-04-25	21533	2102	82212	63120	26384
63	2020-04-26	21372	2009	82722	64928	26644
64	2020-04-27	20353	1956	83504	66624	26977
65	2020-04-28	19723	1863	83619	68941	27359
66	2020-04-29	19210	1795	83652	71252	27682
67	2020-04-30	18149	1694	81708	75945	27967
68	2020-05-01	17569	1578	81796	78249	28236
69	2020-05-02	17357	1539	81808	79914	28710
70	2020-05-03	17242	1501	81436	81654	28884
